Carrier Code,Date,Flight_Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),month,org_clouds,org_pres,org_snow,org_temp,org_solar_rad,org_wind_spd,dest_clouds,dest_pres,dest_snow,dest_temp,dest_solar_rad,dest_wind_spd
UA,2022-11-01,1998,N464UA,ORD,21:08,21:22,114,105,14,21:16,6,0,0,0,0,0,November,0,996.8,0,14.1,140.7,2.9,88,1001.2,0,14.9,49.6,3
UA,2021-11-02,2000,N874UA,ORD,20:51,20:35,111,100,-16,20:29,6,0,0,0,0,0,November,29,1005.1,0,5,106.7,3.6,39,1005.6,0,7.5,126.9,4.7
UA,2022-11-02,604,N4901U,DEN,14:57,16:15,194,189,78,16:10,5,78,0,0,0,0,November,44,819.4,0,13.1,117.8,3,58,1011.6,0,13.6,82,2
UA,2022-11-02,1998,N449UA,ORD,21:08,21:06,114,118,-2,21:01,5,0,0,0,0,0,November,0,1001.4,0,14.9,138.8,2.4,58,1011.6,0,13.6,82,2
UA,2021-11-03,2000,N878UA,ORD,20:51,20:48,111,109,-3,20:42,6,0,0,0,0,0,November,43,1006.6,0,4.5,85.9,2.7,42,1008.6,0,4.8,125.8,3.3
UA,2022-11-03,604,N4888U,DEN,14:57,16:55,194,179,118,16:50,5,51,0,0,0,67,November,57,820.4,95,3.8,83.7,3.8,0,1010.8,0,11.9,129.8,2.5
UA,2022-11-03,1998,N449UA,ORD,21:08,20:35,114,99,-33,20:31,4,0,0,0,0,0,November,46,997.3,0,17,101,5.2,0,1010.8,0,11.9,129.8,2.5
UA,2021-11-04,2000,N876UA,ORD,20:51,21:00,111,117,9,20:55,5,0,0,0,0,0,November,45,1004.8,0,4.9,105.3,2.4,58,1011.3,0,3,77.7,1.7
UA,2022-11-04,604,N843UA,DEN,14:57,14:52,194,192,-5,14:34,18,0,0,0,0,0,November,33,821.4,0,1,147.2,4.1,36,1007.4,0,16.5,87.9,3.9
UA,2022-11-04,1998,N449UA,ORD,21:08,21:01,114,94,-7,20:57,4,0,0,0,0,0,November,99,990.1,0,18.7,34.1,6.3,36,1007.4,0,16.5,87.9,3.9
UA,2021-11-05,2000,N876UA,ORD,20:51,20:57,111,118,6,20:52,5,0,0,0,0,0,November,8,1004.6,0,6.3,133.3,3.7,38,1012.9,0,3.8,92.6,1.9
UA,2022-11-05,604,N843UA,DEN,14:57,14:53,194,191,-4,14:39,14,0,0,0,0,0,November,43,813.5,0,10.1,137.6,7.1,87,1002.1,0,20.5,51.6,7.9
UA,2022-11-05,1998,N451UA,ORD,22:39,1:43,112,94,184,1:38,5,23,0,0,0,161,November,76,980.7,0,13.8,34.4,8.3,87,1002.1,0,20.5,51.6,7.9
